6090261,02-May-17,Bell Canada,WYNFORD,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,274,302,333,-1,RECOMMENDED,BRS,,,,,4,4,4,,,,,,,,,,,,,1089.417582,975.647058,1452.545454,,,,,,,,,,,,,0.6,0.529412,0.454546,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,Care,Care,Care,Care,Care,Care,Care,Care,Care,
6090269,02-May-17,Bell Canada,WYNFORD,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,274,302,333,-1,RECOMMENDED WITH RESERVATIONS,BRS,,,,,4,4,4,,,,,,,,,,,,,1184.12987,878.925,607.266666,,,,,,,,,,,,,0.48052,0.425,0.333334,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,Care,Care,Care,Care,Care,Care,Care,Care,Care,
6090274,02-May-17,Bell Canada,WYNFORD,ONSHORE,0,0,PASS,-91,-63,-32,-2,29,59,90,121,151,182,212,243,274,302,333,-1,RECOMMENDED,BRS,,,,,4,4,4,,,,,,,,,,,,,1066.278481,808.071428,1017.692307,,,,,,,,,,,,,0.623377,0.444445,0.538462,,,,,,,,,,,,,.,.,.,,,,,,,,,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,Care,Care,Care,Care,Care,Care,Care,Care,Care,
6090508,23-May-17,Bell Canada,BOROUGH,ONSHORE,118,1,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,NOT RECOMMENDED,BRS,,,,,,4,2,3,4,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,0.647059,0.52765,0.47506,0.4,,,,,,,,,,,,.,.,.,.,,,,,,,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,,,,,,
6090698,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,FAIL,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,NOT RECOMMENDED,BRS,,,,,,2,2,2,1,1,2,2,2,3,3,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.522168,0.510122,0.493828,0.513239,0.585035,0.585242,0.557523,0.566667,0.627517,0.611714,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090704,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,RECOMMENDED WITH RESERVATIONS,BRS,,,,,,4,4,4,4,4,3,4,2,1,2,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.631579,0.40176,0.440415,0.478261,0.540541,0.632654,0.594697,0.668657,0.685186,0.705571,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090705,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,RECOMMENDED WITH RESERVATIONS,BRS,,,,,,4,4,4,4,2,3,2,3,1,1,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.478495,0.520349,0.5,0.514451,0.58632,0.64898,0.649607,0.629252,0.752748,0.733767,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090706,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,RECOMMENDED,BRS,,,,,,4,3,2,3,3,2,3,3,2,1,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.446512,0.548129,0.639014,0.532674,0.566372,0.693468,0.557078,0.623854,0.755953,0.761905,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090707,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,STRONGLY RECOMMENDED,BRS,,,,,,4,2,3,2,2,2,1,1,4,3,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.5,0.529412,0.511112,0.55372,0.661972,0.647197,0.633987,0.617101,0.625,0.708122,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
6090708,23-May-17,Bell Canada,BOROUGH,ONSHORE,0,0,PASS,-112,-84,-53,-23,8,38,69,100,130,161,191,222,253,281,312,-22,STRONGLY RECOMMENDED,BRS,,,,,,4,4,4,4,3,2,4,3,4,2,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,0.56383,0.561644,0.539569,0.506528,0.563334,0.60581,0.555922,0.6,0.626416,0.668422,,,,,,.,.,.,.,.,.,.,.,.,.,,,,,,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,BRS Sales,,,,,,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound,Sales Inbound
